dimension	count	first_index	last_index
29x25	153	140	739
480x134	65	233	794
480x222	47	0	779
25x14	28	129	744
10x16	24	318	691
16x14	20	118	716
8x15	20	692	712
9x14	20	439	810
12x14	16	142	625
480x133	15	418	432
21x21	13	500	649
12x19	10	762	771
13x20	10	400	409
42x56	10	55	64
64x14	10	300	666
8x11	10	341	350
8x13	10	573	582
8x14	10	330	339
9x13	10	211	220
12x13	8	114	479
17x20	8	139	515
25x15	8	223	735
90x16	8	179	544
11x14	7	359	723
24x14	7	368	732
263x110	7	106	539
480x27	7	248	613
17x15	6	363	728
36x11	6	126	490
159x29	5	169	533
19x19	5	158	166
480x176	5	49	53
107x94	4	80	89
10x10	4	231	594
12x12	4	134	497
13x11	4	94	457
16x16	4	161	524
188x32	4	108	471
18x9	4	96	459
1x1	4	54	729
1x7	4	163	526
24x15	4	372	734
24x155	4	395	759
256x29	4	172	536
40x40	4	316	679
8x19	4	452	815
106x12	3	753	755
106x94	3	82	87
10x14	3	803	812
159x28	3	168	532
16x20	3	138	150
480x163	3	48	518
90x12	3	436	438
96x12	3	798	800
110x16	2	751	752
112x94	2	90	91
122x94	2	77	78
147x94	2	73	75
16x15	2	365	366
17x16	2	626	627
1x3	2	136	137
1x4	2	498	499
203x110	2	394	756
20x24	2	93	455
21x13	2	385	747
220x47	2	175	537
22x2	2	362	724
240x141	2	384	746
24x10	2	396	398
256x146	2	451	813
256x28	2	173	535
257x87	2	261	623
28x15	2	375	733
2x10	2	454	816
2x11	2	258	620
2x8	2	259	621
318x174	2	12	21
319x176	2	15	23
37x16	2	178	540
420x16	2	387	749
480x192	2	399	761
480x195	2	315	677
4x14	2	340	702
4x9	2	221	583
5x5	2	113	475
8x16	2	351	713
105x94	1	81	81
107x12	1	392	392
109x12	1	391	391
109x94	1	84	84
110x12	1	393	393
110x17	1	390	390
110x18	1	389	389
110x94	1	86	86
112x12	1	796	796
114x94	1	92	92
115x94	1	79	79
124x20	1	176	176
124x22	1	538	538
133x94	1	76	76
143x94	1	74	74
148x94	1	72	72
154x94	1	71	71
15x16	1	520	520
15x20	1	145	145
164x16	1	750	750
165x18	1	388	388
168x94	1	70	70
173x94	1	69	69
179x94	1	68	68
18x14	1	433	433
18x17	1	286	286
18x18	1	287	287
19x14	1	795	795
19x18	1	167	167
200x16	1	748	748
200x19	1	386	386
20x20	1	295	295
22x13	1	66	66
23x13	1	65	65
23x15	1	736	736
240x100	1	110	110
24x12	1	760	760
24x13	1	758	758
25x20	1	123	123
26x16	1	371	371
28x19	1	737	737
294x156	1	28	28
305x171	1	19	19
309x150	1	29	29
311x176	1	16	16
311x190	1	17	17
312x165	1	24	24
312x171	1	11	11
313x178	1	18	18
315x174	1	20	20
319x168	1	22	22
320x170	1	67	67
325x181	1	14	14
328x174	1	13	13
338x150	1	30	30
343x165	1	27	27
353x152	1	31	31
368x161	1	26	26
372x219	1	42	42
373x149	1	34	34
384x155	1	32	32
387x219	1	43	43
393x217	1	41	41
394x219	1	39	39
396x217	1	40	40
399x215	1	35	35
3x13	1	222	222
403x220	1	38	38
408x166	1	25	25
408x220	1	37	37
415x215	1	36	36
416x18	1	112	112
417x151	1	33	33
423x16	1	474	474
480x26	1	610	610
4x11	1	352	352
4x13	1	584	584
4x15	1	714	714
54x16	1	434	434
55x16	1	435	435
5x9	1	650	650
66x12	1	797	797
6x10	1	288	288
84x17	1	260	260
88x20	1	622	622
